PlateIFU,z,log(M*)
8442-12705,0.0185128,10.389715613775792
8442-3701,0.029834,10.306757542004583
8442-9101,0.0247113,9.3924241552093
8443-6103,0.029141,10.323887424341425
8444-12703,0.0389689,10.823532780586314
8444-1901,0.036935,9.667609221228327
8445-12701,0.025054,10.799441830816425
8445-3701,0.0243152,10.384122903688482
8446-3703,0.0214632,9.785021694840529
8446-9102,0.0249716,9.331819659789206
8447-12701,0.0507247,10.405677338822912
8447-12702,0.0614411,10.36629332618606
8447-12705,0.0241462,9.524510043055177
8447-1901,0.0202221,9.09556569871557
8447-3701,0.0491129,10.326544847257745
8448-1901,0.0214607,9.386295083388864
8448-6104,0.021597,9.715218586923351
8448-9101,0.0586842,10.655201178262484
8449-12701,0.0223161,9.183699711721175
8449-3703,0.0420595,9.499717934269261
8449-9102,0.0212186,9.631145467060122
8450-12701,0.0431416,10.011531606235556
8450-12702,0.0404999,9.878203965688582
8450-3703,0.035089,10.241619656426078
8450-6102,0.0417713,10.122478014681512
8450-9101,0.0277556,10.10065815061524
8451-12703,0.0379011,9.522595918636515
8451-3701,0.0377453,9.814155148104211
8452-12701,0.0400151,9.822692343979888
8452-12705,0.024944,10.345609750391196
8452-1902,0.058703,10.454287834754819
8452-6104,0.0427482,10.046794481238978
8452-9102,0.0398743,10.5560094254652
8453-12704,0.0381522,9.429818172049554
8453-6102,0.0395361,9.494228447344343
8454-12701,0.0445971,9.864822148624018
8454-12702,0.0764318,10.808161347461233
8454-12703,0.0307213,10.659232986857315
8454-3702,0.0378924,9.66437907090551
8454-3704,0.0392023,9.592294614533046
8454-6101,0.0698794,10.81057538388211
8454-6104,0.0634825,10.87570012201978
8455-12701,0.0292303,9.995987787000281
8455-3701,0.0292897,10.131239491088259
8455-3702,0.0636164,11.255817247211857
8455-3704,0.0231081,9.682183770327073
8455-6101,0.0232593,9.924185368694625
8455-9102,0.0423293,9.838490563136153
8456-12701,0.0231141,9.688944392595213
8456-12704,0.0255084,9.744441475427578
8456-9101,0.0415541,10.057197858486562
8458-1901,0.0349297,9.449481547720424
8458-3702,0.0248702,9.830466897818997
8458-3704,0.0152229,9.850716234696762
8459-12702,0.0170809,9.290876022518201
8459-12705,0.016087,9.377469801945734
8459-1902,0.0169612,9.14233710139715
8459-6102,0.0158773,9.222764234014603
8459-9102,0.0170491,9.08268354199746
8462-1902,0.0231709,9.766676840244827
8462-3703,0.0223405,9.257322433744665
8462-3704,0.0398436,9.97851590107036
8462-6104,0.0225101,9.625295648451441
8464-12704,0.0490936,10.217637008056858
8464-3701,0.0478473,10.257771113951884
8464-3704,0.0307771,10.522098086633838
8464-6102,0.0225666,9.66277902565999
8464-6104,0.0241486,9.999171391572892
8464-9102,0.0238484,10.077235865031476
8465-12701,0.0236717,10.214912478014488
8465-3701,0.0299815,10.255912642080798
8465-6102,0.028277,9.549891172729287
8466-12702,0.0284566,10.275943305166434
8466-3702,0.0233599,9.451736322935995
8481-12704,0.0660105,10.7453775635376
8481-9102,0.0407757,9.915734632072065
8482-12703,0.049627,10.864806419037746
8482-3702,0.0403355,10.882356070534243
8483-12705,0.034895,9.515890056493246
8483-6103,0.0353494,9.450588415627486
8484-12705,0.0183457,9.53094941202721
8484-3701,0.0330158,9.844344017847382
8484-3703,0.031608,10.47191408103424
8484-6103,0.0245436,9.942548622005077
8484-6104,0.0180759,8.935495955389776
8485-12701,0.0234253,9.515500782590442
8485-1901,0.0407447,9.875279832815309
8485-3702,0.0229679,9.687674532752228
8485-6101,0.0363615,9.719425997371607
8485-9102,0.0261956,10.515968409739685
8486-12702,0.0378855,9.526070134017129
8547-6103,0.0423943,10.046213171990722
8548-12702,0.046566,10.107025743187348
8548-12703,0.0214979,9.641053007838968
8548-1902,0.0200673,9.368005906105667
8548-3702,0.0199003,9.048635196017738
8548-3704,0.019565,9.580440838272006
8548-6102,0.0477681,10.29495050506068
8548-6103,0.0202585,9.643142355299776
8549-1901,0.0195562,9.033821594418377
8549-1902,0.0355137,9.663356644857355
8549-3702,0.0212204,9.342877686138937
8549-6103,0.0416784,9.744754260793005
8549-9102,0.0428636,9.980547812444675
8550-12705,0.029986,11.130316698383982
8550-6103,0.0245559,10.470110348263493
8550-9102,0.0358501,10.751140791635413
8551-12702,0.0705054,10.988501624694138
8551-12703,0.0372392,9.73587090025641
8551-12705,0.0296351,10.512937477622135
8551-1902,0.0213513,9.101686065366767
8552-12704,0.0677792,10.580331367045124
8552-3702,0.0388146,9.401731024669834
8552-3704,0.0182579,9.728713129413018
8552-6101,0.0180115,8.816852494907403
8553-12704,0.0724912,10.868614453757948
8553-3704,0.045939,9.895942071483189
8553-9102,0.0736586,11.015964184891613
8554-6101,0.0347538,9.89189570436692
8554-9101,0.0218546,9.63012471999348
8555-9102,0.0459673,10.078827314355472
8566-12702,0.0422758,10.031175073903126
8566-12704,0.0416199,10.706437344546542
8566-12705,0.0198236,10.018002941794336
8566-3703,0.0418133,9.91755051960374
8566-6103,0.010338,8.95139402515366
8567-12701,0.0116837,10.397368846221083
8567-12703,0.0182694,9.864993927016796
8567-9101,0.0228162,9.42623897433216
8568-12702,0.0213062,9.839123889964439
8568-12703,0.0528405,10.239252478886481
8568-12705,0.0219018,10.125898662289934
8588-12702,0.0305423,10.075179618325459
8588-12703,0.0327634,10.661026068761789
8588-9102,0.0300258,10.269986816612967
8591-12705,0.0407302,10.670889280460312
8591-3703,0.0164495,9.145571833374971
8591-6104,0.0425797,10.817076744516553
8591-9102,0.0430069,10.03678038974518
8592-12701,0.0353157,9.4065714610228
8592-12702,0.0378532,9.50559291000736
8592-3702,0.0376555,9.861917052414816
8592-3703,0.0290411,10.196653213042136
8592-3704,0.0377176,9.446334243502786
8592-9101,0.0268503,10.465000231841943
8595-12703,0.0250374,9.814910466671584
8595-3702,0.0693774,10.809070247851498
8595-6102,0.0409139,9.759126469732426
8595-6103,0.0701607,10.838752741434163
8597-12701,0.0517755,10.405506655019602
8597-6103,0.0244355,10.257502255382049
8600-12705,0.0446535,10.099056672404874
8600-1901,0.0252127,9.950672769559102
8601-12702,0.030559,10.334671172223901
8601-12703,0.0288518,10.23736520740523
8601-3703,0.0326605,9.227321507679033
8602-3701,0.0305319,10.194187443221512
8603-9102,0.0359966,10.465695377576953
8604-12704,0.0258843,10.459044592810649
8604-9102,0.0290385,10.200373590719126
8606-1901,0.0374474,9.41170214607014
8611-12701,0.0205096,9.802094849740175
8611-12702,0.0276302,10.36753086648185
8612-12702,0.0631152,11.107022279535563
8613-1902,0.0370643,9.566865406462304
8613-6101,0.0624063,10.699726258745471
8615-12701,0.057472,10.592503052688286
8615-1901,0.0197432,9.067329003122634
8615-1902,0.0195093,10.086040785314115
8616-1901,0.0145593,9.296630721077664
8616-9102,0.0301352,10.32354673687356
8618-12703,0.0378372,9.733302103056557
8618-12704,0.0704926,10.746225793663085
8623-3704,0.0534506,10.524811921491384
8623-6104,0.0964825,11.042613277631931
8624-1902,0.0347134,9.584753403720402
8624-9101,0.0220487,9.831327726526315
8625-6101,0.0175408,9.077180218070316
8625-9102,0.0268244,10.129616903132357
8626-12703,0.0692767,10.839631938820746
8626-12704,0.0472323,8.938751453166251
8655-12701,0.0221523,9.728295794908263
8655-12704,0.0380011,10.654861863462736
8655-6102,0.0229478,9.27515616287053
8655-9102,0.0447689,10.163488749918805
8711-3701,0.0232936,9.319794161737123
8711-3704,0.0406569,9.897519373799055
8711-6103,0.0361199,9.551972509945152
8712-12702,0.0411196,9.633583867347978
8712-6101,0.0348771,10.832983093097251
8712-6102,0.0646405,10.5957480962603
8713-12701,0.0596303,10.67718593516098
8713-12702,0.0415206,9.775652050083352
8713-1902,0.0198477,9.126263969716474
8713-6104,0.0408673,10.910501348605132
8714-12702,0.0222279,9.943594442007994
8714-12703,0.0436477,10.06749671647595
8714-6101,0.0216242,9.957148740922337
8715-12704,0.0226179,9.075387544349494
8715-1902,0.0220459,9.343617561181736
8715-9102,0.02236,10.085517741787035
8716-12702,0.0189349,9.125394949269499
8716-12703,0.0421016,9.825281686632529
8716-12705,0.0402719,9.836132856893421
8716-3701,0.0641829,11.0226059346175
8716-9102,0.0187379,9.811326000272896
8717-3704,0.0290077,10.498338689870845
8718-12703,0.0360313,9.643577548411205
8718-12704,0.0387412,9.462651593386708
8718-12705,0.0227136,9.059709438325307
8718-3703,0.0404117,9.734840634083902
8718-6104,0.0403949,10.040608797736512
8718-9101,0.0502249,10.424428246379108
8719-3703,0.0403495,9.593534706749368
8719-6103,0.0599654,11.046115945748163
8719-6104,0.0405808,9.798343355949276
8720-1902,0.0167758,9.53959067639114
8720-6102,0.0387301,9.751035456099526
8721-12705,0.0386592,9.727177615983734
8721-6101,0.0381777,9.542731452136495
8724-1902,0.0245308,9.820677207767998
8724-6103,0.0422594,9.826094645126691
8724-9101,0.0383484,9.544354103335095
8724-9102,0.0387674,9.74518317632674
8725-3701,0.0378179,9.692186625078667
8726-12702,0.0851264,10.96318239903301
8726-3703,0.0278941,10.380015469637707
8727-12701,0.0204646,10.263840331911846
8727-12702,0.022115,10.144658701132338
8727-3701,0.0209115,10.02824166402606
8727-3702,0.0221492,8.841082248834203
8727-9102,0.0222585,9.590004280573535
8728-12701,0.0284053,10.41961524301567
8728-12704,0.0366599,9.570528644239047
8728-6104,0.017662,9.074022657475831
8931-12701,0.0456437,10.087190863741126
8931-12702,0.0277288,10.21915505509089
8932-12701,0.025071,10.105114464626427
8932-3701,0.0255681,9.831585120294362
8934-12701,0.056776,10.606080703655225
8934-3701,0.0164833,9.356739788536897
8936-12704,0.0126827,9.122148312381663
8936-3703,0.0147903,9.0389695199144
8937-6103,0.0167859,8.828047987020222
8937-9102,0.0412586,9.98442994551939
8938-3703,0.0400721,9.984945929933618
8939-1902,0.0222054,9.37007480899329
8939-3703,0.0198304,9.638591120326021
8940-12701,0.0424393,9.829048964521691
8940-1902,0.0727756,10.873099856781764
8941-12705,0.0141405,9.54885050852267
8941-3702,0.0426423,9.789382109119245
8941-6103,0.017086,9.3045195430779
8942-12702,0.0254964,10.568682942144088
8942-12704,0.0376719,9.579774266882184
8942-1902,0.0381493,9.499021836919928
8942-3704,0.0381657,9.54707613920467
8942-6102,0.0200882,9.603508912897796
8942-9102,0.0383239,9.522577293491398
8943-12702,0.0434812,10.002841076700939
8943-12703,0.0383426,9.731542720394296
8944-12703,0.020697,10.018929657662978
8944-3703,0.0293476,10.164337678887932
8944-3704,0.0499634,10.310970603640847
8944-9102,0.0209079,9.250723633399549
8945-12701,0.0327303,9.970495835153862
8945-12702,0.0250173,10.222292212550558
8945-12705,0.024606,10.092779346574563
8945-3702,0.0455539,9.832557136006704
8946-9101,0.025013,9.835385105838018
8947-1901,0.0271269,10.224757094063792
8947-6103,0.0464368,10.3001645333445
8947-9101,0.047134,10.829902115666723
8948-12703,0.0239641,9.926867197761128
8948-12705,0.0238145,10.579788261408964
8948-9101,0.0214642,9.540840019118058
8952-12705,0.0650701,10.828935960416997
8952-6104,0.0282108,10.245913842279206
8977-12702,0.0174976,9.575986208736607
8977-12705,0.0173038,8.98330588057761
8977-3704,0.0178433,9.405729575558977
8977-6102,0.0282062,9.940455495654728
8977-6103,0.0615687,10.983600516030181
8977-9102,0.0675553,10.607308373462436
8978-12703,0.0158877,9.593405883932883
8979-12701,0.077757,10.945787019314597
8979-12703,0.0389044,9.451313267590105
8979-3702,0.039392,10.966814810499773
8979-6102,0.0346392,10.626939212392012
8980-12701,0.0371881,9.658515621758244
8982-12703,0.0255014,9.493463741585638
8982-1901,0.024672,9.750511543384405
8982-1902,0.0240628,9.85390050273575
8983-12702,0.0352982,9.481562542394919
8983-3703,0.0289385,10.636131586587425
8983-6101,0.0403962,9.662690389413886
8984-12701,0.0235308,9.422589839851481
8984-12702,0.0391295,9.450509895845768
8984-12703,0.0289429,10.134870248773272
8984-6103,0.044136,10.01423414908973
8985-12701,0.0165598,9.750451717352648
8985-12703,0.0245119,10.52618097795966
8985-1901,0.024449,9.353382308888072
8985-3701,0.0159644,9.466107689211603
8985-3704,0.0426279,9.74373048752339
8985-6102,0.0257795,9.939836987354202
8985-9102,0.0647482,10.793807483684157
8987-12702,0.0263218,9.808385995255863
8987-1901,0.0214327,9.134854655509663
8987-3701,0.0486433,10.082867401668047
8987-6103,0.0216554,8.951585299124822
8989-1902,0.0530696,10.420471055718158
8989-3704,0.0263146,9.538799357317771
8989-6101,0.0240278,9.646509750998481
8990-12703,0.055466,10.618268018062683
8990-1902,0.0235342,9.340605968743754
8990-6104,0.0466397,10.003087556845495
8990-9102,0.0327694,10.549438690158693
8991-12701,0.039149,9.981389562897794
8991-12703,0.0485936,10.392937304241011
8991-12705,0.0563021,10.562389984036887
8991-6104,0.0553159,10.437993099628514
8991-9101,0.04755,10.057778624983582
8992-12704,0.025594,10.616076649669804
8992-9101,0.0239519,9.54792030784903
8993-3702,0.0252874,9.443971461485148
8995-12702,0.0193022,9.15340603398799
8997-9102,0.0325782,10.37515204882136
8999-12701,0.0227975,9.95874520360546
8999-12704,0.0228946,9.318744581348573
8999-1901,0.0248858,9.440979724638085
8999-3701,0.0229992,9.552089367057265
8999-6104,0.02317,9.660207015786998
9000-3701,0.0213804,9.159778286281153
9000-6102,0.0271912,9.4361951115881
9002-12704,0.058011,10.667178394295721
9002-12705,0.051168,10.24998060590953
9002-1902,0.0495005,9.656614423193739
9024-1902,0.0300243,9.83511311241052
9024-6102,0.030798,10.40024538918689
9025-12705,0.0479377,10.20342699626044
9025-1901,0.0207578,9.29573939239657
9025-1902,0.0490521,10.362078367080905
9025-9102,0.0204289,9.481047555918622
9026-3701,0.0227801,9.552655802555664
9026-3703,0.0306868,10.410057258700295
9026-6102,0.022517,9.29287153371953
9027-12701,0.0315467,10.810730270481695
9027-12705,0.0223288,9.464583826058439
9027-1901,0.040998,9.543994600589693
9027-3703,0.0208141,9.697663384679604
9027-6103,0.053093,10.502806007732591
9027-9102,0.0210877,9.326193692759947
9028-9101,0.0531755,10.813038786227947
9029-6102,0.0279312,10.200744998133192
9031-12701,0.03988,9.865767297398648
9031-12702,0.0403211,9.68909311737226
9031-6102,0.0410702,9.74321049023681
9031-6104,0.0436059,9.922554938549913
9033-1901,0.0185166,9.143674890172301
9033-9102,0.0311427,10.098347009010773
9034-12701,0.0155034,9.156094011919777
9034-3702,0.0377137,9.945076500083852
9034-3704,0.0378304,9.583663667011981
9035-12701,0.039943,9.750881337196901
9035-12702,0.038266,9.777799536280513
9035-12705,0.0373523,9.491693220718986
9035-3703,0.0373564,9.544986308436174
9035-6102,0.101173,11.081877597208162
9035-6104,0.0375338,9.589242708258507
9036-12701,0.0364653,9.61464759923572
9036-12704,0.0399494,9.91141092314094
9036-6102,0.0407452,10.726382856294745
9036-9102,0.0244346,10.679068029643432
9037-12702,0.0191121,9.706987598046403
9038-12703,0.0705397,10.80461919670321
9038-6103,0.0230556,8.604668984771923
9038-6104,0.0408722,9.669690604319225
9041-12701,0.0332619,10.928455423607609
9041-3702,0.0315177,10.297295002001606
9041-6102,0.0590724,10.542987930012032
9041-9102,0.0327509,10.611155174700876
9042-12702,0.0736221,10.82899903610118
9042-9102,0.0312694,10.618502762614112
9044-6101,0.0229164,10.20680605735003
9045-3702,0.0333513,9.607205470194657
9048-12701,0.0420866,9.695928178371798
9048-12704,0.0395079,9.615013368034614
9048-6104,0.0950942,11.073405596592888
9049-12702,0.0905909,11.021196051895679
9049-3704,0.0148569,9.200199226883665
